사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-12,1호선,0150,서울역,1442704 ,1404121 ,211843 ,203808 
2023-12,1호선,0151,시청,696784 ,684254 ,99882 ,98107 
2023-12,1호선,0152,종각,1010849 ,985165 ,162696 ,152064 
2023-12,1호선,0153,종로3가,488467 ,450427 ,310689 ,286850 
2023-12,1호선,0154,종로5가,483866 ,476917 ,246504 ,239266 
2023-12,1호선,0155,동대문,236114 ,228110 ,128542 ,127639 
2023-12,1호선,0156,신설동,289402 ,276992 ,120282 ,116775 
2023-12,1호선,0157,제기동,231358 ,219338 ,256218 ,272510 
2023-12,1호선,0158,청량리(서울시립대입구),380606 ,372443 ,274847 ,276209 
2023-12,1호선,0159,동묘앞,144443 ,150931 ,146515 ,148571 
2023-12,2호선,0201,시청,697558 ,629317 ,61727 ,56189 
2023-12,2호선,0202,을지로입구,1399572 ,1418244 ,119872 ,110914 
2023-12,2호선,0203,을지로3가,649983 ,636802 ,78399 ,76370 
2023-12,2호선,0204,을지로4가,317873 ,326029 ,77737 ,77350 
2023-12,2호선,0205,동대문역사문화공원(DDP),397184 ,470844 ,59972 ,64609 
2023-12,2호선,0206,신당,346163 ,372336 ,93120 ,95854 
2023-12,2호선,0207,상왕십리,353125 ,340449 ,69110 ,69442 
2023-12,2호선,0208,왕십리(성동구청),422889 ,379790 ,55587 ,49671 
2023-12,2호선,0209,한양대,292705 ,319697 ,13543 ,14494 
2023-12,2호선,0210,뚝섬,659564 ,693655 ,61554 ,61652 
2023-12,2호선,0211,성수,1149979 ,1264676 ,102429 ,103810 
2023-12,2호선,0212,건대입구,1045524 ,1115033 ,98723 ,102276 
2023-12,2호선,0213,구의(광진구청),613573 ,592710 ,108726 ,109469 
2023-12,2호선,0214,강변(동서울터미널),836412 ,791150 ,123772 ,118326 
2023-12,2호선,0215,잠실나루,336712 ,323745 ,91495 ,90966 
2023-12,2호선,0216,잠실(송파구청),2407622 ,2389008 ,230837 ,222781 
2023-12,2호선,0217,잠실새내,591563 ,597566 ,116613 ,114943 
2023-12,2호선,0218,종합운동장,240493 ,264095 ,48865 ,50666 
2023-12,2호선,0219,삼성(무역센터),1547955 ,1528549 ,128153 ,117439 
2023-12,2호선,0220,선릉,1301816 ,1146995 ,226642 ,198162 
2023-12,2호선,0221,역삼,1171020 ,1334723 ,150688 ,153741 
2023-12,2호선,0222,강남,2147804 ,2103543 ,167806 ,145911 
2023-12,2호선,0223,교대(법원.검찰청),698451 ,849482 ,155703 ,188110 
2023-12,2호선,0224,서초,540940 ,515045 ,97642 ,97923 
2023-12,2호선,0225,방배,404154 ,419595 ,80096 ,79508 
2023-12,2호선,0226,사당,1022015 ,1129342 ,238624 ,224078 
2023-12,2호선,0227,낙성대(강감찬),697376 ,663721 ,109130 ,111635 
2023-12,2호선,0228,서울대입구(관악구청),1171481 ,1139798 ,181344 ,171398 
2023-12,2호선,0229,봉천,548024 ,500084 ,152147 ,150810 
2023-12,2호선,0230,신림,1416606 ,1350430 ,208689 ,206669 
2023-12,2호선,0231,신대방,617971 ,588536 ,129595 ,130197 
2023-12,2호선,0232,구로디지털단지,1430091 ,1403831 ,196977 ,196563 
2023-12,2호선,0233,대림(구로구청),584957 ,597963 ,132813 ,136621 
2023-12,2호선,0234,신도림,1264678 ,1257867 ,233371 ,221381 
2023-12,2호선,0235,문래,548232 ,567077 ,88254 ,88222 
2023-12,2호선,0236,영등포구청,515106 ,535201 ,103404 ,102121 
2023-12,2호선,0237,당산,452274 ,526081 ,60369 ,65450 
2023-12,2호선,0238,합정,936774 ,1031529 ,72107 ,72715 
2023-12,2호선,0239,홍대입구,2177364 ,2372022 ,103855 ,101215 
2023-12,2호선,0240,신촌,1037856 ,1067467 ,126570 ,125203 
2023-12,2호선,0241,이대,424899 ,461817 ,49726 ,52003 
2023-12,2호선,0242,아현,254011 ,234003 ,64701 ,63158 
2023-12,2호선,0243,충정로(경기대입구),242585 ,258721 ,48041 ,48351 
2023-12,2호선,0244,용답,69934 ,68523 ,17181 ,16910 
2023-12,2호선,0245,신답,37179 ,41423 ,9504 ,10469 
2023-12,2호선,0246,신설동,81506 ,77976 ,33233 ,35341 
2023-12,2호선,0247,도림천,27700 ,29130 ,7578 ,8700 
2023-12,2호선,0248,양천구청,147190 ,155538 ,51800 ,52999 
2023-12,2호선,0249,신정네거리,227327 ,232500 ,76010 ,77880 
2023-12,2호선,0250,용두(동대문구청),49941 ,48368 ,23920 ,24727 
2023-12,3호선,0309,지축,168554 ,164687 ,35658 ,33968 
2023-12,3호선,0310,구파발,502327 ,491819 ,129356 ,124238 
2023-12,3호선,0311,연신내,763903 ,725202 ,262648 ,254466 
2023-12,3호선,0312,불광,343882 ,365334 ,142735 ,157449 
2023-12,3호선,0313,녹번,373015 ,330825 ,81300 ,79913 
2023-12,3호선,0314,홍제,389802 ,367603 ,148093 ,146927 
2023-12,3호선,0315,무악재,94699 ,91152 ,32569 ,34379 
2023-12,3호선,0316,독립문,152460 ,156813 ,68384 ,68125 
2023-12,3호선,0317,경복궁(정부서울청사),656807 ,674328 ,94522 ,92637 
2023-12,3호선,0318,안국,648087 ,674970 ,101717 ,107150 
2023-12,3호선,0319,종로3가,245424 ,295038 ,66515 ,76545 
2023-12,3호선,0320,을지로3가,292581 ,301563 ,52428 ,49951 
2023-12,3호선,0321,충무로,65 ,0 ,2 ,0 
2023-12,3호선,0322,동대입구,277700 ,305286 ,41327 ,44929 
2023-12,3호선,0323,약수,303511 ,294770 ,85232 ,80290 
2023-12,3호선,0324,금호,181440 ,165407 ,56710 ,55162 
2023-12,3호선,0325,옥수,198591 ,205147 ,60429 ,60527 
